Day,PJME_MW
2002-08-19,1067386.0
2002-08-20,1007164.0
2002-08-21,927748.0
2002-08-22,938019.0
2002-08-23,943801.0
2002-08-24,810195.0
2002-08-25,779610.0
2002-08-26,849061.0
2002-08-27,863395.0
2002-08-28,793552.0
2002-08-29,723440.0
2002-08-30,707667.0
2002-08-31,641710.0
2002-09-01,595035.0
2002-09-02,613365.0
2002-09-03,790708.0
2002-09-04,914630.0
2002-09-05,831648.0
2002-09-06,769045.0
2002-09-07,693882.0
2002-09-08,684631.0
2002-09-09,828157.0
2002-09-10,893093.0
2002-09-11,824715.0
2002-09-12,727273.0
2002-09-13,737128.0
2002-09-14,716162.0
2002-09-15,738657.0
2002-09-16,848934.0
2002-09-17,798300.0
2002-09-18,771670.0
2002-09-19,782616.0
2002-09-20,809783.0
2002-09-21,778833.0
2002-09-22,764796.0
2002-09-23,776169.0
2002-09-24,721652.0
2002-09-25,712228.0
2002-09-26,706482.0
2002-09-27,727777.0
2002-09-28,667782.0
2002-09-29,599185.0
2002-09-30,698321.0
2002-10-01,739574.0
2002-10-02,811988.0
2002-10-03,839163.0
2002-10-04,782927.0
2002-10-05,744534.0
2002-10-06,598611.0
2002-10-07,713104.0
2002-10-08,672220.0
2002-10-09,678633.0
2002-10-10,692637.0
2002-10-11,692971.0
2002-10-12,619249.0
2002-10-13,587239.0
2002-10-14,654397.0
2002-10-15,688532.0
2002-10-16,695297.0
2002-10-17,688367.0
2002-10-18,683060.0
2002-10-19,622845.0
2002-10-20,588313.0
2002-10-21,681969.0
2002-10-22,696379.0
2002-10-23,694997.0
2002-10-24,714819.0
2002-10-25,711390.0
2002-10-26,622769.0
2002-10-27,576612.0
2002-10-28,694956.0
2002-10-29,735200.0
2002-10-30,761711.0
2002-10-31,741290.0
2002-11-01,737843.0
2002-11-02,679193.0
2002-11-03,656181.0
2002-11-04,731311.0
2002-11-05,735184.0
2002-11-06,727403.0
2002-11-07,732357.0
2002-11-08,719626.0
2002-11-09,630185.0
2002-11-10,598971.0
2002-11-11,688117.0
2002-11-12,702563.0
2002-11-13,719981.0
2002-11-14,721928.0
2002-11-15,696076.0
2002-11-16,660613.0
2002-11-17,662879.0
2002-11-18,746560.0
2002-11-19,770987.0
2002-11-20,738839.0
2002-11-21,740437.0
2002-11-22,719982.0
2002-11-23,694056.0
2002-11-24,652197.0
2002-11-25,729006.0
2002-11-26,733487.0
2002-11-27,764195.0
2002-11-28,695280.0
2002-11-29,722226.0
2002-11-30,673470.0
2002-12-01,713296.0
2002-12-02,791862.0
2002-12-03,843500.0
2002-12-04,876796.0
2002-12-05,866240.0
2002-12-06,829958.0
2002-12-07,791071.0
2002-12-08,745114.0
2002-12-09,855047.0
2002-12-10,881712.0
2002-12-11,864566.0
2002-12-12,807515.0
2002-12-13,811306.0
2002-12-14,729167.0
2002-12-15,696062.0
